RegionID,SizeRank,RegionName,RegionType,StateName,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
394405,156,"Boulder, CO",msa,CO,1861.6647029015394,1863.2754520237515,1887.57586088466,1897.981859036571,1894.2940646488619,1881.9684113980225,1871.5170767111927,1894.5296357189238,1893.315881028719,1888.5899168918286,1898.7836733513877,1914.1483718780698,1933.2333874589194,1969.4571028493458,1986.8904462505332,1971.477865766666,1993.6420042671512,2100.6193065494017,2172.1492274336338,2206.8665935779245,2232.507002243584,2190.965084475173,2222.386256356456,2285.252354343078,2286.514736427481,2275.8205228299043,2296.765239708132,2303.995663765785,2283.404478896935,2286.994980748541,2294.3916999237636,2305.147421011198,2332.7326393838325,2322.1437809682575,2331.9622989631994,2320.0520117304677,2301.9979017888013,2335.808185138278,2376.8111114472463,2376.0100200657785,2435.5668891050123,2487.973884730708,2527.858006364058,2522.752001908408,2552.5399603022456,2563.6565312307057,2632.012130972061,2667.822879320797,2661.7596441294427,2639.50559628665,2677.424245215654,2684.0596401086923,2711.88202127502,2731.462334978777,2718.38189550628,2733.2784107829166,2753.168295156393,2770.8937375886894,2870.5141947971833,3011.811350627743,3033.1755080498497,3060.6537272935466,3092.62040926391,3071.4161750663816,3082.558878362068,3069.156074076726,3099.0549160581804,3080.7189155810565,3064.4009317469804,3100.530206032858,3119.6745937420847,3139.4103429281336,3160.4257816986174,3255.1755788797004,3299.4077125329586,3318.764942624947,3371.5515973218266,3381.3948354516647,3383.3679339094956,3402.6881245639047,3437.5187366819227,3512.820117186946,3535.068209749357,3472.663893448044,3417.3099135283865,3395.854189642472,3373.7845672473695,3345.3002280560536,3327.428967065682,3246.397922742769,3239.4315700098678,3203.9806933766226,3210.0741377955637,3246.2783230540804,3261.3987915881034,3284.1444513746605,3294.987136414271,3268.0553843095026,3286.533457317409,3260.0083640199928,3241.0909213012324,3213.1349738567833,3160.967318625564,3142.8231026024114,3153.9051730450838,3170.2153338545845,3187.1966109969558,3195.242966183439,3205.1854297273167,3266.0262242176204,3406.7125930984216,3464.0155406147987,3506.839240360954,3589.855060181337,3615.915853442111,3640.597063944949,3670.2623484022834,3738.8150601695384,3761.2543650692246,3806.754370394957,3987.1480030918447,4198.580782362602,4491.7368338832275,4981.071308728001,5215.628652172135,5422.863364480744,5370.575182454477,5228.183822585947,5578.146009235453,5904.08855775073,5818.376399010211,5584.268730740742,5524.716370833187,5492.340086854588,5593.695085660848,5479.26442628373,5504.218088193437,5643.85253908588,5711.62703456756,5838.195414197392,5922.718344719547,6141.058046011398,6060.126979982091,5750.472679336771,5694.2557451510365,5760.618965483115,5799.110921862714,5904.884862322823,5942.341257443547,5855.194525242722,5803.443245591954,5628.800487158367,5491.414949715129,5613.229395406371,5802.781109146627,5773.018406560235
394646,157,"Green Bay, WI",msa,WI,999.2933067538634,999.1458230492975,1007.5314570164445,1011.1565156856698,1010.4182381954212,1007.9315375550669,1004.116219191729,1011.3965022229195,1006.6019031255257,1001.0070644648329,1002.0114489072636,1002.9100710501267,1037.0191504759057,1045.513447875117,1048.7198873022917,1041.3422877931744,1052.9925412303792,1100.2673974329389,1127.5985210269932,1137.4832872437328,1142.7638748173554,1121.7474172309753,1128.6196642558693,1147.0034276376853,1139.3770742450195,1129.4684332733486,1134.6376262062577,1137.5181376179808,1131.048595982088,1135.85686160573,1139.1172413588508,1141.9921058766795,1148.0767410881083,1138.4543806701784,1136.7924357144962,1127.1967214246765,1075.5166919778137,1081.5200696220336,1090.881568066577,1088.320423922218,1109.448163103008,1127.838236256593,1136.413056469746,1125.8731364066762,1125.6524404749534,1121.2668327756082,1140.3532159824651,1150.299825842215,1136.1123204193432,1123.5753670328183,1131.888823324639,1129.92265924343,1135.5658687990442,1138.747416205355,1129.448765797583,1130.6041450702903,1135.8762857033316,1144.004651802528,1180.9767420782118,1231.1118125190342,1224.8497651183457,1233.4263358511885,1243.1464521256746,1235.856184218011,1239.293877331356,1236.1732081879718,1249.057231489634,1247.0994977794458,1246.1218288543016,1263.1810641670797,1274.153711466729,1282.0195930565283,1282.73012013138,1316.936215097417,1336.910231033512,1347.428721814123,1368.124574336039,1373.6578071759388,1378.8828317808468,1387.9346960424632,1400.815359656887,1422.975874008692,1430.1106209803108,1409.9046700562003,1413.0702486678301,1411.5482556936277,1409.9356736209834,1405.1165147156566,1403.7416234279913,1379.7319948841255,1382.3954607904855,1373.2648953435119,1377.7216729243844,1392.8355263771944,1400.338127558624,1409.919830430373,1389.1423725645554,1377.5291460275298,1382.800541575582,1374.24176443068,1372.1979238724014,1369.1804256048856,1357.506630200333,1357.8249418181026,1369.4227996955146,1384.5644062342349,1396.8449631335354,1404.2837697593018,1397.7892778586704,1420.036148975649,1466.743834437317,1482.2166426345507,1494.977258338244,1525.8670384545067,1538.501664926581,1549.1808020929059,1561.7578448592444,1584.1926743800454,1588.6393547626492,1599.4383204897674,1632.6054723206605,1697.9366101599724,1784.1696019063324,1939.222493748105,2009.4591692065312,2081.7343042034868,2071.272817351888,2035.0680287584144,2176.033208338303,2309.29018956621,2297.880938885284,2229.315812809581,2217.4892518464235,2230.6848512618667,2302.4380149387903,2286.8452381366806,2322.4222290826037,2391.278982000224,2430.8113727495715,2497.2951021416006,2546.898118436889,2640.8011218620295,2612.2989900692946,2492.358713289755,,,,,,,,,,,,
394488,158,"Columbus, GA",msa,GA,805.063972774064,799.4329485454059,798.544284941338,791.8264111222187,781.2539107347657,771.7110502892397,763.7509152403661,766.4001880370469,760.0789011473829,750.9835699808395,747.6992098959731,744.5669065419614,725.0621382082674,729.5143779294123,730.7915291866252,722.767765003134,728.0903559627401,760.7580489669158,781.1979544123867,788.9737203491941,792.7953043772935,773.5550808482107,775.3232612982878,785.0324093749108,764.8464334796811,756.366372534768,759.4913945925579,759.7268042707885,750.7993788968844,749.8853634994892,749.8193791440983,749.4074903054571,752.2077569283405,740.7197157209273,734.8295237194437,722.0050622569447,716.5252449967143,716.7477068381588,719.9001500221801,714.4827261267249,726.8431539748501,738.0638718934273,745.3373225761652,739.1511307795561,741.9309056693403,737.0492358680982,744.6262803115369,743.3316641459371,739.6067722850287,728.5407582666675,732.6901063914706,727.8065297201559,727.9619422655195,727.8602596165932,720.2035156225961,720.1894618443713,720.729823470687,722.0602625254555,742.2156705603886,770.684238733258,784.8920418357993,785.960676347817,787.4118447147746,777.4261367679134,775.4358397954843,768.6945151230894,772.2965728099103,766.8359143999023,763.6185957715078,772.437123943059,778.02750754431,783.7155497497013,790.250515078521,815.4839910023986,829.7949558468023,836.7791547778746,847.5527537535177,845.9245694862677,843.2465889007564,846.0478994456275,855.1391826666821,872.765915500558,879.5568004646171,868.2542046210448,856.8143388287689,852.3913096744509,847.3708769723274,843.4519033169903,843.1779840928326,828.814284907151,829.9890008217095,823.8440583208082,825.3431689300252,835.1287024504335,840.7869965660168,851.2524818541604,845.2457848000166,838.8756294270627,841.3803163304142,834.661884515592,831.9429387233783,828.7172981715515,821.2809368546712,822.2499473382887,827.9582601037516,833.637609743071,838.8290096493753,844.0580535724902,848.8213712727307,864.8257146247525,896.5828995619873,904.1878510154978,906.4440540966948,917.0328115198072,915.5464678723708,917.0767158808546,921.72453441116,937.810512971789,944.1535985674398,955.611220650384,990.0654442609165,1032.544788714983,1085.349108786368,1176.328104915001,1211.3616817677491,1252.0426293563323,1249.174345719376,1235.7572730355164,1332.4774604885106,1419.8947779609227,1411.0762026231405,1361.59385456,1336.6848734545877,1330.7307386299399,1365.2016151342405,1352.8839063053729,1373.8217326179767,1415.0330222560078,1435.517868907732,1469.8295175879243,1495.531612243565,1553.2585871784754,1541.3405755882004,1472.5923563459035,,,,,,,,,,,,
395107,159,"South Bend, IN",msa,IN,666.2796409136424,663.4854207081892,666.7495823677924,667.7441183944178,664.8982636916073,662.9751134073645,658.6446525267412,661.9685805445015,655.4330913653152,648.6624104584918,647.2078934831752,648.5056765569165,649.0277825414721,658.0954437567165,662.372084880856,661.0089265739381,670.9515568379268,706.09535758966,727.3706679572999,737.1843900198153,741.8761409942467,725.5598020967734,727.9649976350814,739.1981261973405,736.9403360428054,729.2948808869512,730.5940036953945,733.0426378791859,727.3968623755333,730.6671715730469,732.7244758894233,735.620003766349,739.8450083098894,731.6173045927196,727.4120847177942,719.9844197511522,1586.9246834759895,1589.7165431754108,1591.6833722112856,1590.7983251029198,1607.383134757471,1625.3133674182347,1635.8947727917516,1637.4411372915308,1643.3354880993536,1645.2792800193702,1657.6960834615609,1668.4902203879813,729.5577689939257,722.6479346890012,727.9046286933248,726.5788200950915,729.6804093997005,732.409334462874,726.9288752564759,730.6564536955135,737.1134161207441,744.6411313919859,768.8362102996625,801.2795427183139,800.3652443447085,802.9551889015286,806.5776119003393,800.4328673635731,802.8798973196782,800.72875619864,809.7749140412017,809.0338390443872,809.5932401102584,821.4526302129416,828.7475464877762,834.8620418329424,840.2253741524204,867.416977473564,884.8354016007474,895.0757191495044,909.5659411806487,910.7269142689338,910.1265925615669,915.3155642820057,925.5016546789205,944.9738562470959,953.0271457116116,940.7549350100735,944.7775286603413,944.1833071330317,944.2235435532774,940.6519118126521,938.3436539118866,918.7412719242051,917.6405923373175,909.2124440042555,911.0248487458427,921.5097076823693,926.9509177686501,934.5776687003728,922.923951848841,917.3997126107093,924.0536667247603,920.6188992843872,920.2702923799908,917.3453343835146,906.6425259637065,902.5696868641884,905.9715164284153,911.8491312126137,919.6940117138995,926.0116941412149,940.1252649722522,958.1927514520959,995.1460138296466,1008.3410816966299,1015.4598566690768,1032.8819276264694,1035.2102880593857,1038.3518232954743,1042.3474700329607,1057.7067680878786,1061.9468430134696,1073.9525366850712,1117.6288889060595,1168.8459194379827,1234.0312351937732,1345.7361830580535,1392.0515630303235,1441.8345296282039,1435.2764165209583,1413.7277037651118,1515.838266818828,1610.6936571145154,1598.0703562509427,1544.0957214439538,1545.9320798911947,1548.2036155167034,1592.1005648446928,1579.390641083537,1604.867496950625,1658.345158500977,1688.152433411871,1731.9109396345957,1760.849636318056,1822.9160769873813,1800.8530662666833,1715.0349945069388,1667.8566693426146,1692.832956251851,1713.3757675482523,1755.0544381511063,1779.2913654628933,1768.9751365817212,1763.5171340430345,1716.6831528188015,1678.202440524442,1715.1843860520858,1771.8673218149897,1766.8032197865796
395109,160,"Spartanburg, SC",msa,SC,,,,,,,,,,,,,,,,,,,,,,,,,808.122999110499,801.7011909083443,806.5024083222193,808.2213575128269,800.3229263215536,801.6479412565653,803.8586794986957,807.245111327322,813.6433117404182,806.2591868178508,805.7386706203737,800.3395981810445,790.3931894288919,797.1349723590786,805.2985917150937,803.0723945238088,819.5328733037695,834.5796774182858,843.7373400155375,837.5233652123148,838.4573760749296,833.1498545174288,844.6978750844364,848.9500149119438,842.9907250832025,830.9975052084162,835.8655355077727,831.146004590001,832.8044512205493,832.9877201627838,825.5110096321516,828.44026646517,834.7366471277094,841.4716765348501,870.3218122776286,909.7407730904877,916.0318478415313,921.2359180997674,926.9365750853868,920.0872526293088,921.9890920610158,917.9732774148654,927.6095156077148,925.5733790179377,926.0626770376696,939.7176843248158,949.6893445594786,958.4068827675816,967.651485156692,997.7161595632151,1013.4909727138829,1020.5794584478152,1036.0780786635698,1038.9766755386902,1041.7399874846637,1050.9753679756411,1064.8394942525827,1088.718986669406,1097.2069542219235,1080.765271036049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898.6833845000795,1888.570021073156,1929.9767144504726,1899.572840303627,1919.7115287313957,1978.2642050043974,2010.9974601038696,2063.413691898234,2100.958614594133,2184.92809891617,2165.5814453459216,2064.6675062265454,,,,,,,,,,,,
394645,161,"Greeley, CO",msa,CO,,,,,,,,,,,,,,,,,,,,,,,,,1367.6496265114447,1362.3887812090713,1379.5801030111716,1392.7186044021937,1389.2316808120815,1399.8030378354683,1410.6264195385545,1424.5435160998877,1449.0264277721333,1449.9444325176137,1463.6740758679584,1463.154916049179,1463.9967576778374,1490.7813775776563,1522.0789357149902,1528.699597469128,1570.5762978452817,1607.4984538569106,1634.1524010455526,1631.642239450066,1648.4909520071485,1649.7667951530862,1687.7575062102483,1705.9248846476376,1728.9250585058753,1711.201927939536,1731.766478211553,1732.6932335195688,1747.0330878453499,1755.9282345973147,1748.4808895779058,1758.8778674750815,1774.21621560253,1786.5429860467802,1850.9827688698435,1941.433976048475,1933.6179195386128,1955.263764104903,1979.7218177265263,1972.2918770413116,1983.911675880114,1981.5474149192669,2007.9248482802377,2005.6613867308495,2005.3145962601156,2036.2356425857772,2054.5366368168216,2074.1729623503315,2130.089378014587,2207.2183539897405,2249.934337132595,2270.10627789996,2308.68534848029,2316.486287127597,2320.086273627474,2335.9645364161975,2362.549858292458,2415.109368317527,2433.3156034535623,2394.1096443897836,2323.203963765094,2316.5307038778833,2308.020838559976,2291.8800166937426,2281.7564186513564,2229.4019567505206,2226.3930004759122,2202.2883652936553,2206.841081920898,2232.87949091767,2243.884508067854,2259.69991358001,2280.378037433577,2258.5584964194854,2268.245635122385,2246.805063147459,2236.280379210932,2223.337368337093,2196.2311399944797,2189.373046709146,2197.848952989754,2208.043098292917,2217.84462059544,2223.616854385475,2233.3915042485755,2277.4506886839235,2371.0215147616964,2401.0192398698123,2416.9814077497417,2461.045777491407,2474.6200753328453,2500.1002325086542,2538.799976614771,2605.581473145514,2635.462967843128,2675.8116797431403,2800.6735662311257,2927.798895885155,3095.9096642227023,3396.217349759183,3526.192490183188,3656.497072209938,3630.418953165755,3555.798807934443,3811.7194107042264,4046.0640446310813,3992.3140554061533,3830.677947469077,3779.4566060255456,3753.518550714035,3823.207906499829,3743.6727563827767,3764.4797613909477,3861.576746340968,3909.6670123616627,3993.1361555528283,4044.275803987365,4183.281390218105,4121.272571454093,3909.753008254058,3854.151891341703,3899.998307265064,3921.755114690964,3991.9345204125,4019.9759810576656,3972.1852803676456,3946.4556777443613,3837.8950629297055,3753.512876890667,3842.6346032358642,3973.4554015544018,3949.1823454518467
394808,162,"Lubbock, TX",msa,TX,,,,,,,,,,,,,734.8762913538123,746.076040762772,754.1147663626466,750.0046248707802,759.1514745285604,799.6462052816967,821.9012017252896,828.0189542658679,826.2568409011952,798.5533023105918,798.4270665894667,813.1795668538659,996.2692311881672,994.4571079180434,1004.0975648213645,1008.2644552152194,1003.6336381748703,1008.7837697009063,1014.0197328559814,1018.9098057713636,1025.0284414235994,1012.3132113035927,1006.0832387165967,995.0331595487779,987.6093787544802,994.3142273917783,1001.1769955459812,994.2551853085452,1004.2153406989088,1011.3376521540933,1014.3206072851434,1004.0099040156397,1002.437222208086,991.4764790267872,995.1406460231021,991.2899987468794,975.5478926469053,963.0680196207471,970.2375443198464,970.386838329771,978.2489648758949,984.4332159107553,984.1053550764,995.0298158759839,1010.8142394526601,1024.4755796463135,1059.0006687735042,1102.0480761809781,1108.6445108221858,1114.6533394912267,1120.6325717790417,1112.8372271713122,1118.2194134834021,1118.896599181323,1132.9806701963896,1133.880105568549,1135.558337069284,1150.587920773148,1157.9882486274391,1165.5830681493528,1168.7308115440712,1201.1667756507006,1218.8488097817092,1226.540486297959,1241.1034395895895,1239.7697676052478,1237.4430631065281,1243.0782498606245,1255.2616185406378,1277.0617304473622,1283.5361400394124,1264.463433694852,1272.2351378023998,1247.5304652821994,1217.1800539526978,1194.3015749554186,1182.9214133973105,1160.680027533649,1161.273847365716,1153.945228320653,1156.5161436161484,1166.2920922002575,1170.1746118529416,1177.170123965637,1161.7388807580649,1154.3789823044522,1159.8861734111815,1153.243358179225,1151.3326422202808,1150.0988451798569,1144.3003441295145,1145.3715712102958,1150.3832444604543,1154.7895124525949,1159.3026877071018,1161.19264877486,1158.7795814766546,1174.9823600636726,1211.2475026823397,1222.7825006260457,1228.1163336035268,1247.3074240628378,1253.0806128409422,1262.0150111185142,1273.3065112100526,1294.8199255243285,1302.0725076478088,1313.092742224552,1346.6316594845,1399.904200638024,1470.6191414889274,1591.2934075550909,1645.2789409934992,1702.9160159247979,1703.1333706739042,1685.1934913684954,1798.8087749805395,1902.2470974539697,1890.7535073479944,1831.9153719971073,1787.4321192481088,1783.7795362779013,1822.9159561430315,1799.9133941392186,1819.0481225675107,1866.3476128809457,1886.9590062874424,1918.1342979523504,1936.6997762060923,1990.134060865176,1961.6670124129696,1869.4060979986825,1822.177843922393,1843.9158409253484,1859.4677358573408,1893.3145979019662,1905.9456718899771,1884.3028534225848,1868.2848664432975,1814.6172239230996,1772.6413517631202,1798.5747739005471,1841.6745571221306,1826.1504537673634
394471,163,"Clarksville, TN",msa,TN,,,,,,,,,,,,,938.6398294480305,945.04621782278,946.6020807539029,936.8938701700775,944.6849841468324,988.8367699859964,1012.982322533209,1019.5832508950398,1020.7329489763213,994.4621156251211,998.1084794243121,1014.845728911841,1008.1163759301844,999.0040541184511,1002.9897420713066,1004.5452063764743,995.858689584067,998.6473908827844,1000.1969905366976,1000.8415083296443,1004.4461924827467,991.4537406165631,986.3554046660539,974.5827919838379,958.3686127742689,961.4057767259906,964.9310193838515,955.5424804552039,969.397959124341,982.7081733869187,989.4819310672816,978.5861311827153,978.280627706394,972.2595762916179,985.72802914803,989.160464249526,989.5866045609674,975.2733143422738,980.4196026006451,975.1388235235238,977.0312253609337,977.3179177737084,968.7053797796891,970.2784108523355,974.9036381586357,979.189421965538,1007.9883625986408,1047.2695612083166,1012.9504952599234,1015.5267144183887,1019.8687449729754,1008.8868789286932,1007.5094652791139,998.7701524481299,1004.9825033293603,998.8975220713601,996.3979221992959,1008.8610390581814,1017.2888790159233,1025.0767961923789,1060.8594679007597,1092.5157457300832,1108.10791511643,1114.685839032686,1130.7274126605987,1133.6555160504329,1136.2223862837027,1143.7811682081185,1156.1561209575432,1178.3520149679175,1185.105193659238,1167.0435521465956,1146.1315126708498,1142.1890057191767,1137.4692110558083,1130.9560825042963,1128.8523651647665,1108.500112283315,1111.1728146776206,1103.2075202090218,1107.7795156924733,1122.80062978793,1132.755595847181,1145.8665221721324,1141.9313713511533,1137.0762267695977,1144.8826186005833,1135.7812479914946,1133.3227442074158,1132.4781151156049,1125.840276189451,1126.8029005112016,1133.0413019384969,1139.5755043871454,1146.2802754715112,1150.3030615865,1125.7054130199206,1145.6372501356618,1188.9405322547595,1202.4876996357586,1209.8698956900598,1233.3382898268762,1243.671517057296,1259.9599994528005,1280.5183707596861,1314.0052564406149,1330.506259541894,1355.2028612991771,1438.2416922659381,1507.530381619743,1592.4393923436414,1740.2102802039558,1804.793996853427,1875.100581913745,1873.7515653827159,1852.4284374840872,2000.3412799311743,2137.130050495817,2126.205089210795,2053.6937798556264,2023.6705539193235,2018.9611324805887,2068.9298607602823,2041.01416885742,2063.4593653417937,2122.873620907309,2152.785662810085,2202.954241927729,2237.582280306991,2321.61416513467,2296.965665077458,2188.0468431110235,,,,,,,,,,,,
395028,164,"Roanoke, VA",msa,VA,1013.7786632944762,1011.4223296280579,1019.3774251976162,1020.1862993720495,1015.1562868435944,1007.257725104425,998.5988526343223,1004.9779105773961,997.4356117046763,987.5899965241032,983.8380484583324,981.3281136243909,915.9877791268038,925.6637618068553,929.6726531592151,921.3921459242148,931.5071677293724,979.902932630494,1008.464443279238,1019.1100065687349,1023.7453218825996,997.4720806249687,1000.820378743834,1017.8473065971638,1075.0110655478588,1061.6377888981433,1064.6562292526569,1067.2328700246928,1060.9002836872096,1062.9687520849075,1064.0449530528538,1065.1852132932374,1071.517515469672,1059.6689449780142,1055.4875530076204,1044.4709116723102,1028.4427577347255,1030.958296513884,1034.6049540851568,1027.5214113482807,1045.70353336848,1061.9716018576005,1071.0932871152409,1062.3392091772548,1064.2041031802032,1058.2062437488416,1071.6673023480503,1074.3205451590786,1065.1267876977943,1047.9900677038142,1052.6024013573335,1045.9829674251985,1045.9946456289588,1043.5385833822597,1033.001752549568,1035.0765272236492,1040.9536116915856,1045.1582856995012,1074.9682067872495,1117.552616416905,1114.158495889213,1118.5048432807587,1123.6449310596197,1113.7356301380837,1114.775740265068,1108.1035957087552,1116.262128527465,1109.4321038644334,1104.1227249057158,1114.8005447691075,1120.5972401443169,1126.796275840552,1134.2719748045567,1165.3617718783944,1179.5921071344337,1185.3739740992617,1200.6103693725722,1200.921656031884,1201.0740574172517,1207.7535531908586,1220.8400761596577,1243.1993998972785,1248.3648197778625,1226.0012377827813,1210.3059606737208,1208.9922052070258,1209.9420195110577,1207.0713845346913,1206.6035416655043,1184.3232584753155,1184.9212434809617,1174.6330719529217,1177.3169702286025,1190.3976913930298,1197.3736060980432,1207.7358783181926,1194.2906258979997,1185.0814877358002,1190.1859234051444,1182.015857146145,1179.5954622009385,1177.4200212377236,1169.578315106386,1172.4081494653608,1183.5344838600627,1195.8421411947677,1207.262953559214,1214.9143253446475,1232.7659178865933,1253.404165301356,1296.5205012568629,1307.5052812089227,1311.6031744266488,1331.2568116068294,1335.2726395086227,1340.3020300827377,1347.087776677982,1364.8861870602952,1366.8382166534343,1376.6895642252202,1418.7343400179936,1480.8497510879174,1561.1418921826225,1702.3705939597862,1765.4952248784853,1838.3538688180618,1840.7928910037651,1821.9910818300234,1962.1492898562842,2090.7055440890567,2078.891576783148,2009.8957724706506,1995.3646726668785,1991.13195078489,2042.3328784498183,2024.3246591491761,2058.3030304699,2127.110315555557,2163.4665038339203,2217.1202701712823,2252.734816267324,2335.264457009579,2313.367021363794,2209.3900509384985,2192.402906429387,2220.2399200907275,2240.0717392142196,2290.434118136904,2321.5982827180487,2308.09720283148,2302.830946452618,2247.4809625290236,2204.1155435275514,2258.7424458799637,2333.604768753846,2327.4207074169017
