true_label,predicted_label,confidence_score,predicted_investment_score,true_investment_score
False,False,0.997161834976477,23.247077085759514,21.381818181818183
False,False,0.9953830087087661,38.78447259677962,34.34090909090909
False,False,0.6617535501372825,53.092675992786155,46.659090909090914
False,False,0.9025156493297954,45.645151833848786,41.67272727272728
True,True,0.7421730814603664,64.5425239520063,65.69545454545454
False,False,0.6070482317730379,44.33695844541164,51.83181818181818
True,False,0.5858317525805063,52.337480430038866,59.00454545454546
False,False,0.995296310915831,25.93797068549593,26.41818181818182
True,True,0.9164059694057382,74.29972025495368,76.57272727272728
False,False,0.54425369676295,50.16972515161446,50.72272727272727
False,False,0.7194710913587332,48.23560543141657,50.89545454545455
False,False,0.9516000319493806,44.52082687223649,40.0090909090909
True,True,0.6911971721490541,63.64079859426802,62.2409090909091
True,True,0.651786887393176,57.4540744051216,59.14545454545454
False,False,0.9148020125727427,44.82502016902979,45.900000000000006
True,True,0.9919293534474027,76.94007739484546,79.76818181818183
True,False,0.5226524764824204,55.01695852818824,58.013636363636365
True,True,0.9738936499861675,69.56317673122349,71.76818181818182
False,False,0.6178009034844945,52.35667947630385,48.52272727272727
False,False,0.9594617502116946,32.4971781314228,33.04545454545455
False,False,0.9982404617760341,23.092520940349473,16.709090909090907
False,False,0.97990782122165,39.77933203002911,34.14090909090909
False,False,0.6260116867038817,49.58711134568694,47.00000000000001
False,False,0.9210515796416955,41.42270549096159,35.95909090909091
False,False,0.8787683720052892,49.25664918961621,45.268181818181816
False,False,0.996374937715388,23.168005862277592,18.895454545454548
True,True,0.9737386205977759,75.15741626531158,79.85909090909091
False,False,0.9387709842137317,39.33561048704783,30.495454545454542
False,False,0.7893848039262406,49.238334622010115,51.17272727272727
False,False,0.9696220930232559,23.44307405428099,18.599999999999998
False,False,0.669705130300382,49.45121197658513,51.17727272727272
True,False,0.5824427227839737,51.75298044888412,59.07727272727273
False,False,0.9924455961814246,32.24981106010021,35.82272727272727
False,False,0.9471284720412008,44.41634708109967,39.68636363636364
True,True,0.9824834373836379,79.06937689147867,86.96363636363637
False,False,0.9482666986160473,45.348886666608784,42.268181818181816
True,True,0.9736009681595914,78.1438900825154,74.58636363636363
True,False,0.6810108050029778,51.08987391177072,56.14090909090909
False,False,0.6015346252872626,48.63378501364549,53.268181818181816
False,False,0.9965097692721464,27.488387176929677,28.10909090909091
False,False,0.6620978590805195,44.20598212506524,43.518181818181816
True,True,0.6322777427353125,56.08187469242016,59.11363636363637
