zip_code,city,state,region_id,msa_name,median_home_value,median_rent,days_pending,price_cuts_percent,market_heat,price_to_rent
01452,HUBBARDSTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01453,LEOMINSTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01462,LUNENBURG,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01468,TEMPLETON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01473,WESTMINSTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01475,WINCHENDON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01501,AUBURN,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01503,BERLIN,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01504,BLACKSTONE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01505,BOYLSTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01506,BROOKFIELD,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01507,CHARLTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01508,CHARLTON CITY,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01509,CHARLTON DEPOT,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01510,CLINTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01515,EAST BROOKFIELD,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01516,DOUGLAS,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01518,FISKDALE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
